unique_id,program_id,program_name,program_name_en,program_type,program_variant,cluster,url,description,career_prospects,overall_opinion_score,first_year_female_pct,student_count,search_text
1184_0,1184,Technische Bedrijfskunde,Industrial Engineering & Management,Bachelor,Fulltime,Mechanical Engineering,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/technische-bedrijfskunde,"Companies are jumping to people with both business and technical insight. If you own that, you have absolutely a dash for it. Let that be exactly what you learn during the Applied Business Administration programme. Take making an iPhone or designing a new building. Nothing is logical or self-evident. With a critical look you can see whether the production can be smarter or better, for example by buying raw materials cheaper. If you want to reduce the price or go looking for the cause, you may be able to contact a different target group. You are the link between technology and management and know how a company can produce faster or more sustainable. With this helicopter view, you can save companies a lot of money and time. During the Applied Business course, you learn to look at a company as an entrepreneur, (project) manager and advisor.","In Technische Bedrijfskunde you can create the competences of the entrepreneur, manager and advisor. In these roles you can continue. Our graduates work as marketing managers in a business-to-business environment, logistics managers or account managers. Others have project leader, organisational advisor or quality manager on their business card. They regularly find themselves in management teams.",3.4166666667000003,15.789,292.0,"Program name: Technische Bedrijfskunde
Program name (EN): Industrial Engineering & Management
Type: Bachelor | Variant: Fulltime
Cluster: Mechanical Engineering
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/technische-bedrijfskunde
Description: Companies are jumping to people with both business and technical insight. If you own that, you have absolutely a dash for it. Let that be exactly what you learn during the Applied Business Administration programme. Take making an iPhone or designing a new building. Nothing is logical or self-evident. With a critical look you can see whether the production can be smarter or better, for example by buying raw materials cheaper. If you want to reduce the price or go looking for the cause, you may be able to contact a different target group. You are the link between technology and management and know how a company can produce faster or more sustainable. With this helicopter view, you can save companies a lot of money and time. During the Applied Business course, you learn to look at a company as an entrepreneur, (project) manager and advisor.
Career prospects: In Technische Bedrijfskunde you can create the competences of the entrepreneur, manager and advisor. In these roles you can continue. Our graduates work as marketing managers in a business-to-business environment, logistics managers or account managers. Others have project leader, organisational advisor or quality manager on their business card. They regularly find themselves in management teams.
Overall opinion score: 3.4166666667000003
First-year female %: 15.789
Student count: 292.0
Unique ID: 1184_0"
3227_0,3227,Elektrotechniek,Electrical and Electronic Engineering,Bachelor,Fulltime,Electrical Engineering,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/elektrotechniek-voltijd,"Smart technical solutions are needed to meet the climate goals. Do you want to contribute to the transformation into a sustainable society? In the programme Electrical engineering, design and realize smart solutions for, for example, sustainable use of energy. Together with students from other programmes and professionals from the field of work, you will address the challenges of this time! The Hague University of Applied Sciences gives you the tools to make the most impact on society. This way you will work on innovative and creative projects for healthcare, agriculture, transport and the energy sector.",Good news for electrotechnicians: the sector is healthy and very stable. Employers line up for our bachelors; sometimes they sponsor students before graduation. It is common for students from the Electrical Engineering programme to work at a company where they have been internship.,3.5365853659,3.509,222.0,"Program name: Elektrotechniek
Program name (EN): Electrical and Electronic Engineering
Type: Bachelor | Variant: Fulltime
Cluster: Electrical Engineering
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/elektrotechniek-voltijd
Description: Smart technical solutions are needed to meet the climate goals. Do you want to contribute to the transformation into a sustainable society? In the programme Electrical engineering, design and realize smart solutions for, for example, sustainable use of energy. Together with students from other programmes and professionals from the field of work, you will address the challenges of this time! The Hague University of Applied Sciences gives you the tools to make the most impact on society. This way you will work on innovative and creative projects for healthcare, agriculture, transport and the energy sector.
Career prospects: Good news for electrotechnicians: the sector is healthy and very stable. Employers line up for our bachelors; sometimes they sponsor students before graduation. It is common for students from the Electrical Engineering programme to work at a company where they have been internship.
Overall opinion score: 3.5365853659
First-year female %: 3.509
Student count: 222.0
Unique ID: 3227_0"
3227_2,3227,Elektrotechniek,Electrical and Electronic Engineering,Bachelor,Dual,Electrical Engineering,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/elektrotechniek-duaal,"Many companies in the energy supply, telecommunications and high-tech industry are jumping for well-educated technicians. This dual Bachelor's programme in Electrical Engineering is a great step forward. During the programme you work 24 hours a week at an electrical engineering company. There you will get started with all the knowledge and skills you gain at school. Because of the solid theoretical basis you get there, you will look at systems: how can they be better, smarter and cheaper? You will develop electrotechnical systems that generate or convert energy and smart devices that communicate with each other. In doing so, you will work innovative, sustainable and ICT-driven. The class days take place in Delft, one of the technology hotspots of the Netherlands. There you will learn everything about the latest developments and you will work on a bright future.",Good news for electrotechnicians: the sector is healthy and very stable. Employers line up for our bachelors; sometimes they sponsor students before graduation. It is common for students from the Electrical Engineering programme to work at a company where they have been internship.,3.5365853659,3.509,222.0,"Program name: Elektrotechniek
Program name (EN): Electrical and Electronic Engineering
Type: Bachelor | Variant: Dual
Cluster: Electrical Engineering
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/elektrotechniek-duaal
Description: Many companies in the energy supply, telecommunications and high-tech industry are jumping for well-educated technicians. This dual Bachelor's programme in Electrical Engineering is a great step forward. During the programme you work 24 hours a week at an electrical engineering company. There you will get started with all the knowledge and skills you gain at school. Because of the solid theoretical basis you get there, you will look at systems: how can they be better, smarter and cheaper? You will develop electrotechnical systems that generate or convert energy and smart devices that communicate with each other. In doing so, you will work innovative, sustainable and ICT-driven. The class days take place in Delft, one of the technology hotspots of the Netherlands. There you will learn everything about the latest developments and you will work on a bright future.
Career prospects: Good news for electrotechnicians: the sector is healthy and very stable. Employers line up for our bachelors; sometimes they sponsor students before graduation. It is common for students from the Electrical Engineering programme to work at a company where they have been internship.
Overall opinion score: 3.5365853659
First-year female %: 3.509
Student count: 222.0
Unique ID: 3227_2"
4317_0,4317,Toegepaste Wiskunde,Applied Mathematics,Bachelor,Fulltime,Mathematics,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/toegepaste-wiskunde-i-data-analytics,"Find a way to deliver packages climate-neutral and fast? Create an algorithm for Netflix? Determining locations of ambulance stations? Applied Mathematics tackles these challenges with mathematical models and data. An applied mathematician seeks solutions for practical matters and is in the middle of society. For example, you come up with the most efficient timetable for the NS, determine the best way for online flight rates or come up with smart encryption of bank data. Applied mathematics is a broad, practical and social field. Social? Yes, in this study you will learn how to transfer knowledge and follow your trainings in presenting, meeting and other communicative skills.","With Applied Mathematics you can go a lot. Mathematically trained people are wanted by companies, the government and various research institutions. Many business mathematics engineers, as researchers, advisors or analysts, come to a department where figures are produced on the basis of which management decisions are made. As a statistical researcher, you can also get to work in many places.",4.0192307692,31.667,191.0,"Program name: Toegepaste Wiskunde
Program name (EN): Applied Mathematics
Type: Bachelor | Variant: Fulltime
Cluster: Mathematics
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/toegepaste-wiskunde-i-data-analytics
Description: Find a way to deliver packages climate-neutral and fast? Create an algorithm for Netflix? Determining locations of ambulance stations? Applied Mathematics tackles these challenges with mathematical models and data. An applied mathematician seeks solutions for practical matters and is in the middle of society. For example, you come up with the most efficient timetable for the NS, determine the best way for online flight rates or come up with smart encryption of bank data. Applied mathematics is a broad, practical and social field. Social? Yes, in this study you will learn how to transfer knowledge and follow your trainings in presenting, meeting and other communicative skills.
Career prospects: With Applied Mathematics you can go a lot. Mathematically trained people are wanted by companies, the government and various research institutions. Many business mathematics engineers, as researchers, advisors or analysts, come to a department where figures are produced on the basis of which management decisions are made. As a statistical researcher, you can also get to work in many places.
Overall opinion score: 4.0192307692
First-year female %: 31.667
Student count: 191.0
Unique ID: 4317_0"
7318_0,7318,Technische Natuurkunde,Applied Physics,Bachelor,Fulltime,Applied Physics,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/technische-natuurkunde,"Taking devices apart to see how they work. Diving into the lab to test and investigate. That curiosity comes in handy with the Applied Physics programme. As a real beta you learn from computer simulations and you don't see against mathematical formulas. For you, nothing is taken for granted. You use the laws of mother nature to create or achieve something. In the Applied Physics programme you dive into the technique of light, sound and mechanics for four years. You learn how to understand and apply physics in practice. You get theory, but you also carry out a lot of practical and projects. How nice is it to measure the acoustics of a theatre or experiment into energy saving? With mathematical models you describe and explain your measurements. You don't only know how something works, but also make it work. The world is at your feet. In the fourth year you choose a profile where you go for a semester in depth. Will Nanotechnology or Photonics get deeper theory? In both profiles you go further and explain your research.",Many students find their work in real physics jobs. Employment is currently very high. It is well known that our former students have found a lot of good positions in the field. The sectors in which most students find work are research & development (research & development) and engineering & manufacturing. Commercial functions and functions at consulting firms are also in the process of coming forward.,3.8255813953,17.857,251.0,"Program name: Technische Natuurkunde
Program name (EN): Applied Physics
Type: Bachelor | Variant: Fulltime
Cluster: Applied Physics
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/technische-natuurkunde
Description: Taking devices apart to see how they work. Diving into the lab to test and investigate. That curiosity comes in handy with the Applied Physics programme. As a real beta you learn from computer simulations and you don't see against mathematical formulas. For you, nothing is taken for granted. You use the laws of mother nature to create or achieve something. In the Applied Physics programme you dive into the technique of light, sound and mechanics for four years. You learn how to understand and apply physics in practice. You get theory, but you also carry out a lot of practical and projects. How nice is it to measure the acoustics of a theatre or experiment into energy saving? With mathematical models you describe and explain your measurements. You don't only know how something works, but also make it work. The world is at your feet. In the fourth year you choose a profile where you go for a semester in depth. Will Nanotechnology or Photonics get deeper theory? In both profiles you go further and explain your research.
Career prospects: Many students find their work in real physics jobs. Employment is currently very high. It is well known that our former students have found a lot of good positions in the field. The sectors in which most students find work are research & development (research & development) and engineering & manufacturing. Commercial functions and functions at consulting firms are also in the process of coming forward.
Overall opinion score: 3.8255813953
First-year female %: 17.857
Student count: 251.0
Unique ID: 7318_0"
7321_0,7321,Werktuigbouwkunde,Mechanical Engineering,Bachelor,Fulltime,Mechanical Engineering,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/werktuigbouwkunde-voltijd,"Do you want to know exactly how machines are assembled? Do you want to break up everything? Are you excited about drones with sensors and Wi-Fi in your home? During the Mechanical Engineering programme you will investigate, design, maintain, build and improve constructions, machines, drive techniques, measurement and control techniques or connection principles. And, yes, it is also nice to know: there are plenty of jobs. You will learn everything in Mechanical Engineering about designing, building and improving constructions and machines. You will get subjects such as mathematics, mechanics, 3D modeling, energy learning and programming. In the third year of the study you will go into practice and do two internships. In the last year you will be able to go through the minors in a subject that you really like.",Mechanical engineers use the technique to make people's lives and work more pleasant. You can find them everywhere: from transport to engineering and from construction to the food industry. Everywhere they are wanted. They contribute to the fact that products are really made and that production processes run as they should.,3.745,9.559,510.0,"Program name: Werktuigbouwkunde
Program name (EN): Mechanical Engineering
Type: Bachelor | Variant: Fulltime
Cluster: Mechanical Engineering
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/werktuigbouwkunde-voltijd
Description: Do you want to know exactly how machines are assembled? Do you want to break up everything? Are you excited about drones with sensors and Wi-Fi in your home? During the Mechanical Engineering programme you will investigate, design, maintain, build and improve constructions, machines, drive techniques, measurement and control techniques or connection principles. And, yes, it is also nice to know: there are plenty of jobs. You will learn everything in Mechanical Engineering about designing, building and improving constructions and machines. You will get subjects such as mathematics, mechanics, 3D modeling, energy learning and programming. In the third year of the study you will go into practice and do two internships. In the last year you will be able to go through the minors in a subject that you really like.
Career prospects: Mechanical engineers use the technique to make people's lives and work more pleasant. You can find them everywhere: from transport to engineering and from construction to the food industry. Everywhere they are wanted. They contribute to the fact that products are really made and that production processes run as they should.
Overall opinion score: 3.745
First-year female %: 9.559
Student count: 510.0
Unique ID: 7321_0"
7321_2,7321,Werktuigbouwkunde,Mechanical Engineering,Bachelor,Dual,Mechanical Engineering,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/werktuigbouwkunde-duaal,"Machines, constructions, installations: you want to know exactly how they work. Especially in order to shape and organize them even better. During the 4-year dual course in Mechanical Engineering, you will work on designing, building and improving propulsion techniques, measurement and control techniques, among others. You will work on mathematics, mechanics, 3D modelling, energy learning and programming. In the third year you will be internship twice and in the last year you will choose minors that fit your interests. Before you know it, it's time to graduate. With your degree you can get started anywhere in the world: South Africa, China, Nicaragua. We have contacts everywhere, so you have it for research.",Mechanical engineers use the technique to make people's lives and work more pleasant. You can find them everywhere: from transport to engineering and from construction to the food industry. Everywhere they are wanted. They contribute to the fact that products are really made and that production processes run as they should.,3.745,9.559,510.0,"Program name: Werktuigbouwkunde
Program name (EN): Mechanical Engineering
Type: Bachelor | Variant: Dual
Cluster: Mechanical Engineering
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/werktuigbouwkunde-duaal
Description: Machines, constructions, installations: you want to know exactly how they work. Especially in order to shape and organize them even better. During the 4-year dual course in Mechanical Engineering, you will work on designing, building and improving propulsion techniques, measurement and control techniques, among others. You will work on mathematics, mechanics, 3D modelling, energy learning and programming. In the third year you will be internship twice and in the last year you will choose minors that fit your interests. Before you know it, it's time to graduate. With your degree you can get started anywhere in the world: South Africa, China, Nicaragua. We have contacts everywhere, so you have it for research.
Career prospects: Mechanical engineers use the technique to make people's lives and work more pleasant. You can find them everywhere: from transport to engineering and from construction to the food industry. Everywhere they are wanted. They contribute to the fact that products are really made and that production processes run as they should.
Overall opinion score: 3.745
First-year female %: 9.559
Student count: 510.0
Unique ID: 7321_2"
8759_0,8759,Mechatronica,Mechatronics,Bachelor,Fulltime,Mechatronics,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/mechatronica,"Mechatronics is indispensable for the industry, care, logistics, offshore, agriculture and horticulture, but more and more often also in homes and rehabilitation processes. Good to know: mechatronic engineers are needed. They make devices and systems ever smarter and better by combining mechanical engineering, electrical engineering and computer science. Do you like moving machines? Do you want to understand how they work? Do you like complicated puzzles to solve? Is your answer usually ""yes""? Then the programme Mechatronics at The Hague University of Applied Sciences is something for you! You then get a lot of knowledge about system science, mathematics, computer science, electrical engineering and mechanical engineering. And this knowledge applies you directly to projects. You then work on mechatronic applications in the Westland or the Port of Rotterdam. That's why you have to collaborate a lot, we also bring you to know how you work together.","The work of a mechatronicist consists mainly of working with intelligent systems in which electrical engineering, mechanics and computer science are integrated. You can use the competences you have acquired in the training (understanding, system thinking, modelling, planning, managing) in different professional roles.",3.58,12.5,284.0,"Program name: Mechatronica
Program name (EN): Mechatronics
Type: Bachelor | Variant: Fulltime
Cluster: Mechatronics
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/mechatronica
Description: Mechatronics is indispensable for the industry, care, logistics, offshore, agriculture and horticulture, but more and more often also in homes and rehabilitation processes. Good to know: mechatronic engineers are needed. They make devices and systems ever smarter and better by combining mechanical engineering, electrical engineering and computer science. Do you like moving machines? Do you want to understand how they work? Do you like complicated puzzles to solve? Is your answer usually ""yes""? Then the programme Mechatronics at The Hague University of Applied Sciences is something for you! You then get a lot of knowledge about system science, mathematics, computer science, electrical engineering and mechanical engineering. And this knowledge applies you directly to projects. You then work on mechatronic applications in the Westland or the Port of Rotterdam. That's why you have to collaborate a lot, we also bring you to know how you work together.
Career prospects: The work of a mechatronicist consists mainly of working with intelligent systems in which electrical engineering, mechanics and computer science are integrated. You can use the competences you have acquired in the training (understanding, system thinking, modelling, planning, managing) in different professional roles.
Overall opinion score: 3.58
First-year female %: 12.5
Student count: 284.0
Unique ID: 8759_0"
10945_0,10945,HBO-ICT,Information & Communication Technology,Bachelor,Fulltime,Computer Science,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/hbo-ict,"With ICT you can really go all the way. Whizzkid you don't need to be for this study. Do you like to build websites, gaming or programming? You will learn it all in the HBO-ICT programme. Exciting topics such as big data and cybersecurity are also covered. From supertech to business advisor: with a diploma HBO-ICT in your pocket everything is possible. In the fast development of automation you are always one step ahead of everyone, because you follow that development closely and know exactly what is going on. The first half of the year is the same in all locations and you get to know ICT in full width. Then you make a choice for a particular direction: Business & Data Management (location The Hague), Information Security Management (location Zoetermeer), Innovation Development (location Zoetermeer), Network & Systems Engineering (location Delft) and Software Engineering (location The Hague).","The demand for smart systems is growing rapidly and thus the demand for technical informants. Between computer science and technology, you often have a big gap, which you can bridge. Your programme is wide enough to also fulfil more general ICT functions. Many students start working part-time during the course. They do advice, design and build systems, or work as an ICT, internet or network consultant. For an employer or in their own company.",3.6458333333,11.864,222.0,"Program name: HBO-ICT
Program name (EN): Information & Communication Technology
Type: Bachelor | Variant: Fulltime
Cluster: Computer Science
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/hbo-ict
Description: With ICT you can really go all the way. Whizzkid you don't need to be for this study. Do you like to build websites, gaming or programming? You will learn it all in the HBO-ICT programme. Exciting topics such as big data and cybersecurity are also covered. From supertech to business advisor: with a diploma HBO-ICT in your pocket everything is possible. In the fast development of automation you are always one step ahead of everyone, because you follow that development closely and know exactly what is going on. The first half of the year is the same in all locations and you get to know ICT in full width. Then you make a choice for a particular direction: Business & Data Management (location The Hague), Information Security Management (location Zoetermeer), Innovation Development (location Zoetermeer), Network & Systems Engineering (location Delft) and Software Engineering (location The Hague).
Career prospects: The demand for smart systems is growing rapidly and thus the demand for technical informants. Between computer science and technology, you often have a big gap, which you can bridge. Your programme is wide enough to also fulfil more general ICT functions. Many students start working part-time during the course. They do advice, design and build systems, or work as an ICT, internet or network consultant. For an employer or in their own company.
Overall opinion score: 3.6458333333
First-year female %: 11.864
Student count: 222.0
Unique ID: 10945_0"
20663_0,20663,Next Level Engineering,Next Level Engineering,Master,Fulltime,Electrical Engineering,https://www.dehaagsehogeschool.nl/opleidingen/hbo-master/master-next-level-engineering,"In this master's programme, a central role is played by transitions in society. This is because we think that being closely involved in changes provides an excellent way of learning to deal with changes. By creatively combining different techniques and key technologies, solutions become more sustainable, efficient and effective. You also learn to approach problems from less obvious perspectives and to also think and act with agility. This facilitates collaboration and innovations rise naturally. You can then create more opportunities for yourself on the job market.","As a versatile engineer, you can go in different directions. For example, get started with technical consulting firms, technical health companies or work with sustainable energy companies or smart industry. One thing is certain: with the luggage you take with you as a Next Level Engineer you are more than welcome everywhere!",3.4375,22.222,,"Program name: Next Level Engineering
Program name (EN): Next Level Engineering
Type: Master | Variant: Fulltime
Cluster: Electrical Engineering
URL: https://www.dehaagsehogeschool.nl/opleidingen/hbo-master/master-next-level-engineering
Description: In this master's programme, a central role is played by transitions in society. This is because we think that being closely involved in changes provides an excellent way of learning to deal with changes. By creatively combining different techniques and key technologies, solutions become more sustainable, efficient and effective. You also learn to approach problems from less obvious perspectives and to also think and act with agility. This facilitates collaboration and innovations rise naturally. You can then create more opportunities for yourself on the job market.
Career prospects: As a versatile engineer, you can go in different directions. For example, get started with technical consulting firms, technical health companies or work with sustainable energy companies or smart industry. One thing is certain: with the luggage you take with you as a Next Level Engineer you are more than welcome everywhere!
Overall opinion score: 3.4375
First-year female %: 22.222
Unique ID: 20663_0"
