location_id,program_id,career_alignment_score,career_prospects,teacher_engagement_score,program_start_date,teacher_quality_score,progression_to_year2_pct,continue_study_after_pct,curriculum_content_score,english_material_score,diploma_level_pct,description,program_diploma_pct,program_variant,choose_again_score,atmosphere_score,study_guidance_score,study_load_score,study_facilities_score,assessment_evaluation_score,url,url_en,overall_opinion_score,funding_type,cluster,first_year_students,first_year_female_pct,joint_degree,latest_program_year,name,program_name,program_name_en,n_overall_opinion,education_level,sector,institution_type,program_type,student_count,study_load_hours,degree_title,admission_requirements_mbo,increased_tuition_intensive_program,legal_additional_requirements_havo,legal_additional_requirements_vwo,legal_prior_education_havo,legal_prior_education_vwo,text_length,text_en
32,1184,3.7131147541,"Bij Technische Bedrijfskunde maak je je de competenties van de ondernemer, manager en adviseur eigen. In deze rollen kun je zo verder. Onze afgestudeerden werken bijvoorbeeld als marketing managers in een business-to-business omgeving, logistiek managers of accountmanagers. Anderen hebben projectleider, organisatieadviseur of kwaliteitsmanager op hun visitekaartje staan. Regelmatig komen ze in managementteams terecht. Bij menig multinational zitten technisch bedrijfskundigen in het bestuur.",3.4444444444,2003-09-01,3.3125,60.2362204724,20.9302325581,3.39453125,3.3823529412,37.9120879121,"Bedrijven staan te springen om mensen met zowel bedrijfskundig als technisch inzicht. Als je dat bezit, heb je absoluut een streepje voor. Laat dat nou precies zijn wat je leert tijdens de opleiding Technische Bedrijfskunde. Neem het maken van een iPhone of het ontwerpen van een nieuw gebouw. Niets is logisch of vanzelfsprekend. Met een kritische blik kijk je of de productie daarvan slimmer of beter kan, door bijvoorbeeld grondstoffen goedkoper in te kopen. Bij dalende verkoopcijfers van auto’s kun je de prijs verlagen of op zoek gaan naar de oorzaak en wellicht een andere doelgroep aanspreken. Jij bent dé schakel tussen techniek en management en weet hoe een bedrijf sneller of duurzamer kan produceren. Met deze helikopterview bespaar je bedrijven veel geld en tijd. Tijdens de opleiding Technische Bedrijfskunde leer je als ondernemer, (project)manager én adviseur naar een bedrijf te kijken. Zo stem je producten en diensten af op de wensen van de klanten.",32.967032967,Fulltime,3.3692307692,3.7575757576,3.4736842105,2.890625,3.3432835821,3.4179894180000003,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/technische-bedrijfskunde,,3.4166666667000003,Bekostigd,Werktuigbouwkunde,57.0,15.789,0,2024.0,Technische Bedrijfskunde,Technische Bedrijfskunde,Industrial Engineering & Management,72.0,Bachelor,Techniek,HBO,Bachelor,292.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel EM, CM (met Wiskunde A of Wiskunde B), NG, NT.","Vwo met profiel EM, CM (met Wiskunde A of Wiskunde B), NG, NT.",1000.0,"Applied Business Education Bachelor Go to content Main navigation - Dutch Logo of The Hague University of Applied Sciences, go to homepage Search Nederlands Login Close Ask your question about the programme Ask your question about how to apply Sign up for this programme Come to our Open Day on Saturday 1 November Something for you? Away with all that cumbersome stuff. You immediately see how a company can produce faster, more sustainable or cheaper. As a business engineer you are curious. You switch and communicate quickly with everyone and thus tackle any business problem. Read more With this helicopter view you can make it far. How do you think of leading at a technical multinational? During the programme Technische Bedrijfskunde you learn as an entrepreneur, (project) manager and advisor to look at a company."
32,3227,3.8333333333,Goed nieuws voor elektrotechnici: de sector is gezond en zeer stabiel. Werkgevers staan voor onze bachelors in de rij; soms sponsoren ze studenten al vóór hun afstuderen. Het komt regelmatig voor dat studenten van de opleiding Elektrotechniek aan de slag gaan bij een bedrijf waar ze stage hebben gelopen.,3.7453703704,2003-09-01,3.8146551724,59.8639455782,28.0,3.5666666667,4.125,27.8606965174,"Slimme technische oplossingen zijn hard nodig om de klimaatdoelstellingen te halen. Wil je meewerken aan de transformatie naar een duurzame samenleving? Bij de opleiding Elektrotechniek bedenk, ontwerp en realiseer je slimme oplossingen voor bijvoorbeeld duurzaam gebruik van energie. Samen met studenten van andere opleidingen en professionals uit het werkveld ga je de uitdagingen van deze tijd aan! De Haagse Hogeschool geeft je de tools om maximale impact te maken op de maatschappij. Zo werk je aan innovatieve en creatieve projecten voor de zorg, landbouw, vervoer en de energiesector. Continu vraag je je af hoe iets beter, slimmer en goedkoper kan. Op die manier optimaliseer je tijdens de opleiding Elektrotechniek je eigen creaties.",22.8855721393,Fulltime,3.8484848485,4.0,3.9318181818,3.3333333333,3.8529411765,3.7692307692,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/elektrotechniek-voltijd,,3.5365853659,Bekostigd,Elektrotechniek,57.0,3.509,0,2024.0,Elektrotechniek,Elektrotechniek,Electrical and Electronic Engineering,41.0,Bachelor,Techniek,HBO,Bachelor,222.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.",1000.0,"Electrical engineering training Bachelor Go to content Main navigation - Dutch Logo of The Hague University of Applied Sciences, go to homepage Search Nederlands Login Close Ask your question Ask your question about registration Ask your question about study selection Register for this programme Come to our Open Day on Saturday 1 November Something for you? Do you have the ambition to contribute to a cleaner, safer and more pleasant world? Are you creative, innovative and do you also have a mathematics and physics knobble? Then you are perfect for the Electrical Engineering programme in Delft! Read more With us you are contributing to a sustainable society. From the start of the programme, design and realize smart solutions for, for example, sustainable use of energy."
32,3227,,Goed nieuws voor elektrotechnici: de sector is gezond en zeer stabiel. Werkgevers staan voor onze bachelors in de rij; soms sponsoren ze studenten al vóór hun afstuderen. Het komt regelmatig voor dat studenten van de opleiding Elektrotechniek aan de slag gaan bij een bedrijf waar ze stage hebben gelopen.,3.7407407407,2003-09-01,,40.9090909091,,,,36.25,"Veel bedrijven in de energievoorziening, telecommunicatie en hightechindustrie zitten te springen om goedopgeleide technici. Deze duale bacheloropleiding Elektrotechniek is dan ook een mooie stap vooruit. Tijdens de opleiding werk je 24 uur per week bij een elektrotechnisch bedrijf. Daar ga je aan de slag met alle kennis en vaardigheden die je op school opdoet. Door de stevige theoretische basis die je daar krijgt, kijk je anders naar systemen: hoe kunnen die beter, slimmer en goedkoper? Je ontwikkelt zelf elektrotechnische systemen die energie opwekken of omzetten en slimme apparaten die met elkaar communiceren. Daarbij werk je innovatief, duurzaam en ICT-gestuurd. De lesdagen vinden plaats in Delft, een van de techniekhotspots van Nederland. Daar leer je alles over de nieuwste ontwikkelingen en werk je aan een mooie toekomst.",31.25,Dual,,,3.6,,,,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/elektrotechniek-duaal,,3.5365853659,Bekostigd,Elektrotechniek,57.0,3.509,0,2024.0,Elektrotechniek,Elektrotechniek,Electrical and Electronic Engineering,41.0,Bachelor,Techniek,HBO,Bachelor,222.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.",1000.0,"Main navigation - Dutch Logo of De Haagse Hogeschool, go to the homepage Search Nederlands Login Close Ask your question about the programme View the FAQ about the Pro programmes Sign up for this programme Visit our information evening on 16 October Something for you? You want to work in electrical engineering at the HBO level, even better today than tomorrow. That's good! With our dual programme Electrical engineering you get to work right away. You'll learn the tricks of electrical engineering and bring your knowledge straight to the workplace. Read more Learn for a large part of your work: 24 hours a week. Your employer is only happy with your development and you can study without any study guilt. Don't you have a job in electrical engineering? No worries. Many companies in energy, telecommunications or the high-tech industry are ready to jump to your own or with the help of an external service provider (for example on this web)."
32,4317,3.435483871,"Met Toegepaste Wiskunde kun je veel kanten op. Wiskundig getrainde mensen zijn gewild bij bedrijven, de overheid en bij verschillende onderzoeksinstellingen. Veel bedrijfswiskundig ingenieurs komen als onderzoeker, adviseur of analist terecht op een afdeling waar cijfermateriaal wordt geproduceerd op basis waarvan het management beslissingen neemt. Ook als statistisch onderzoeker kun je op heel veel plaatsen aan de slag.",4.029478458,2003-09-01,4.1530612245,48.8505747126,24.1379310345,3.7653061224,,24.6835443038,"Een manier vinden om pakketjes klimaatneutraal en snel te bezorgen? Een algoritme maken voor Netflix? Locaties bepalen van ambulanceposten? Bij Toegepaste Wiskunde pak je deze uitdagingen aan met wiskundige modellen en data. Een toegepast wiskundige zoekt oplossingen voor praktische zaken en staat midden in de maatschappij. Je bedenkt bijvoorbeeld de meest efficiënte dienstregeling voor de NS, bepaalt de beste manier voor online vliegtarieven of komt met een slimme versleuteling van bankgegevens. Toegepaste wiskunde is een breed, praktisch én sociaal vakgebied. Sociaal? Jazeker! Bij deze studie leer je hoe je kennis overbrengt en volg je trainingen in presenteren, vergaderen en andere communicatieve vaardigheden.",17.4050632911,Fulltime,4.1020408163,4.48,4.1511627907,3.2040816327,3.74,3.9047619048,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/toegepaste-wiskunde-i-data-analytics,,4.0192307692,Bekostigd,Wiskunde,60.0,31.667,0,2024.0,Toegepaste Wiskunde,Toegepaste Wiskunde,Applied Mathematics,52.0,Bachelor,Exact en Informatica,HBO,Bachelor,191.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel EM (met Wiskunde B), CM (met Wiskunde B), NG, NT.","Vwo met profiel EM, CM (met Wiskunde A of Wiskunde B), NG, NT.",1000.0,"Applied Mathematics I Data Analytics Training Bachelor Go to content Main navigation - Dutch Logo of De Haagse Hogeschool, go to homepage Search Nederlands Login Close Ask your question about the programme Ask your question about registration Ask your question about study selection Sign up for this programme Come to our Open Day on Saturday 1 November Something for you? Find a way to deliver packages climate-neutral and fast? Create an algorithm for Netflix? Or determine the locations of ambulance stations? At Applied Mathematics Data Analytics you will address these challenges with mathematical models and data. Read more You'll build on the mathematics of secondary school, but you'll really use it now. You'll learn how to convert a problem into mathematics. You'll think about the data you need for the solution. You'll compare different methods and choose the best. Results should also be able to explain to non-knows."
32,7318,3.6641791045,Veel studenten vinden hun werk in echte natuurkundebanen. De werkgelegenheid is op dit moment zeer groot. Het is bekend dat onze oud-studenten zeer veel goede posities in het werkveld hebben gevonden. De sectoren waarin de meeste studenten werk vinden zijn research & development (onderzoek & ontwikkeling) en engineering & fabricage. Ook commerciële functies en functies bij adviesbureaus liggen in het verschiet.,3.8549019608,2003-09-01,3.9573529412,50.9652509653,31.5789473684,3.6441176471,3.8,26.2032085561,"Apparaten uit elkaar halen om te zien hoe ze werken. In het laboratorium duiken om te testen en onderzoeken. Die nieuwsgierigheid komt goed van pas bij de opleiding Technische Natuurkunde. Als echte bèta leer je van computersimulaties en zie je niet op tegen wiskundige formules. Voor jou is niets vanzelfsprekend. Je gebruikt de wetten van moeder natuur om iets te maken of te bereiken. Bij de opleiding Technische Natuurkunde duik je vier jaar lang in de techniek van onder meer licht, geluid en mechanica. Je leert natuurkunde te begrijpen en toe te passen in de praktijk. Je krijgt theorie, maar voert ook veel practica en projecten uit. Hoe leuk is het om de akoestiek van een theaterzaal te meten of experimenten uit te voeren naar energiebesparing? Met wiskundige modellen beschrijf en verklaar je jouw metingen. Je weet niet alleen hoe iets werkt, maar zorgt ook dat het werkt. De wereld ligt aan je voeten. In het vierde jaar kies je een profiel waar je een semester lang de diepte in gaat. Wordt het Nanotechnologie of Fotonica? In beide profielen krijg je verdiepende theorie en ga je experimenteel een stapje verder. Daarnaast doe je onderzoeksprojecten op eindniveau en komt alles van jouw onderwerp samen in een project.",20.5882352941,Fulltime,3.8823529412,4.1176470588,4.0197368421,3.5647058824,3.4470588235,3.6529411765,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/technische-natuurkunde,,3.8255813953,Bekostigd,Technische natuurkunde,56.0,17.857,0,2024.0,Technische Natuurkunde,Technische Natuurkunde,Applied Physics,86.0,Bachelor,Exact en Informatica,HBO,Bachelor,251.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel EM (met Wiskunde B en Natuurkunde), CM (met Wiskunde B en Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (Natuurkunde), CM (met Wiskunde B en Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.",1000.0,"Applied Physics programme Bachelor Go to content Main navigation - Dutch Logo of The Hague University of Applied Sciences, go to homepage Search Nederlands Login Close Ask your question about the programme Ask your question about application Subscribe to this programme Come to our Open Day on Saturday 1 November Something for you? How does GPS work? What happens in fusion? How do you apply quantum computing to the research of basic particles? It's questions you have. You want to understand and use physics. Read more In the Applied Physics programme, you'll spend 4 years in the technique of electricity, light, sound and mechanics, among others. You'll of course have your nose in the books but you'll experiment a lot."
32,7321,3.6696969697,Werktuigbouwkundigen gebruiken de techniek om het leven en het werken van mensen aangenamer te maken. Je komt ze overal tegen: van het transport tot de machinebouw en van de constructiebouw tot de voedselindustrie. Overal zijn ze gewild. Zij dragen er toe bij dat producten echt worden gemaakt en dat productieprocessen draaien zoals het moet.,3.7136279926,2003-09-01,3.5833333333,63.7602179837,25.6097560976,3.6086956522,2.8863636364,44.2176870748,"Wil jij precies weten hoe machines in elkaar zitten? Haal je alles uit elkaar? Ben je enthousiast over drones met sensoren en wifi in huis? Tijdens de opleiding Werktuigbouwkunde houd je je bezig met het onderzoeken, ontwerpen, onderhouden, bouwen en verbeteren van constructies, machines, aandrijftechnieken, meet- en regeltechnieken of verbindingsprincipes. En o ja, ook fijn om te weten: er zijn volop banen. Je leert bij Werktuigbouwkunde alles over constructies en machines ontwerpen, bouwen en verbeteren. Je krijgt vakken als wiskunde, mechanica, 3D-modelleren, energieleer en programmeren. In het derde jaar van de studie ga je de praktijk in en loop je twee keer stage. Het laatste jaar verdiep je je via de minors in een onderwerp dat je echt leuk vindt. Na je afstuderen kun je overal aan de slag. Zelfs internationaal, want Werktuigbouwkunde heeft contacten over de hele wereld. Volg je deze studie liever duaal? Ook dat is mogelijk.",38.2653061224,Fulltime,3.8978494624,4.0909090909,3.9970760234,3.25,3.7553191489,3.6144688645,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/werktuigbouwkunde-voltijd,,3.745,Bekostigd,Werktuigbouwkunde,136.0,9.559,0,2024.0,Werktuigbouwkunde,Werktuigbouwkunde,Mechanical Engineering,200.0,Bachelor,Techniek,HBO,Bachelor,510.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.",1000.0,"In the third year, you will be in practice and internship twice.The last year, you will be studying, designing, building and improving constructions, machines, driving techniques, measuring and control techniques. And, fine to know, there are plenty of jobs! In the third year, you will be in practice and you will be in training twice in the course of the course.Come to our Open Day on Saturday 1 November Something for you to roast your sandwiches first. Then on the bike to school. Through the rotating door to the elevator. You will not always stand still, but mechanical engineering is everywhere in your life. Do you like to know how products and machines work? Do you like to design and produce them yourself? Read more During the course Mechanical Engineering you will be in researching, designing, maintaining, building and improving constructions, machines, driving techniques, measuring and control techniques or connecting principles."
32,7321,3.6818181818,Werktuigbouwkundigen gebruiken de techniek om het leven en het werken van mensen aangenamer te maken. Je komt ze overal tegen: van het transport tot de machinebouw en van de constructiebouw tot de voedselindustrie. Overal zijn ze gewild. Zij dragen er toe bij dat producten echt worden gemaakt en dat productieprocessen draaien zoals het moet.,3.6444444444,2003-09-01,3.5113636364,58.4905660377,9.0909090909,3.375,,34.0206185567,"Machines, constructies, installaties: jij wilt precies weten hoe ze werken. Vooral om ze daarna nog beter vorm te geven en te organiseren. Tijdens de 4-jarige duale opleiding Werktuigbouwkunde houd je je bezig met het ontwerpen, bouwen en verbeteren van onder meer aandrijftechnieken en meet- en regeltechnieken. Je gaat aan de slag met wiskunde, mechanica, 3D-modelleren, energieleer en programmeren. In het derde jaar loop je 2 keer stage en in het laatste jaar kies je minors die passen bij jouw interesses. Voordat je het weet, is het alweer tijd om af te studeren. Met je diploma kun je overal ter wereld aan de slag: Zuid-Afrika, China, Nicaragua. We hebben overal contacten, dus je hebt het voor het uitzoeken.",32.9896907216,Dual,3.5454545455,3.7272727273,3.9,3.7272727273,3.4545454545000003,3.2878787879,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/werktuigbouwkunde-duaal,,3.745,Bekostigd,Werktuigbouwkunde,136.0,9.559,0,2024.0,Werktuigbouwkunde,Werktuigbouwkunde,Mechanical Engineering,200.0,Bachelor,Techniek,HBO,Bachelor,510.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.",1000.0,"Mechanical engineering programme • Bachelor Go to content Main navigation - Dutch Logo of The Hague University of Applied Sciences, go to homepage Search Nederlands Login Close Ask your question about the programme View the FAQ about the Pro programmes Register for this programme Come to our Open Day on Saturday 1 November Something for you? Do you want to combine studying with working? Do you already have a job in technology and want to get a step higher? Or do you want to start working experience right away and are you not waiting for a study debt? Then follow the dual course Mechanical engineering. Read more A drone with intelligent sensors, the shock absorbers of a sports car, the Wi-Fi in your home. Regular and unusual technical things make our daily life a bit easier."
32,8759,3.4929577465,"Het werk van een mechatronicus bestaat vooral uit het werken met intelligente systemen waarin elektrotechniek, mechanica en informatica zijn geïntegreerd. De competenties die je in de opleiding hebt verworven (inzicht krijgen, systeemdenken, modelleren, plannen, managen) kun je in verschillende beroepsrollen gebruiken",3.6329588015,2011-09-01,3.5652173913,52.4844720497,17.391304347800002,3.5079787234,2.8055555556000003,25.815217391300003,"Mechatronica is onmisbaar voor de industrie, zorg, logistiek, offshore, land- en tuinbouw, maar steeds vaker ook in woningen en revalidatieprocessen. Goed om te weten: mechatronisch ingenieurs zijn hard nodig. Zij maken apparaten en systemen steeds slimmer en beter door werktuigbouwkunde, elektrotechniek en informatica te combineren. Vind je bewegende machines cool? Wil je begrijpen hoe die werken? Vind je ingewikkelde puzzels leuk om op te lossen? Is jouw antwoord meestal ‘ja’? Dan is de opleiding Mechatronica aan De Haagse Hogeschool iets voor jou! Je doet dan veel kennis op over systeemkunde, wiskunde, informatica, elektrotechniek en werktuigbouwkunde. En deze kennis pas je meteen toe in projecten. Je werkt dan bijvoorbeeld aan mechatronische toepassingen in het Westland of de haven van Rotterdam. Je moet veel samenwerken, daarom brengen we je ook ‘soft skills’ bij. Zo leer je hoe je samenwerkt en welke rollen er zijn in een team. Maar ook hoe je communiceert en feedback geeft.",22.8260869565,Fulltime,3.7578947368,4.1875,3.6298701299,3.5957446809,3.7731958763,3.4307116105,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/mechatronica,,3.58,Bekostigd,Mechatronica,80.0,12.5,0,2024.0,Mechatronica,Mechatronica,Mechatronics,100.0,Bachelor,Techniek,HBO,Bachelor,284.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.",1000.0,"Mechatronics programme • Bachelor Go to content Main navigation - Dutch Logo of The Hague University of Applied Sciences, go to homepage Search Nederlands Login Close Ask your question about the programme Ask your question about the application Subscribe to this programme Come to our Open Day on Saturday 1 November Something for you? Mechatronics? Many people don't know the word, but everyone uses mechatronics. Every day. Without mechatronics no robots, no drones, no airbag, no 3D printer and no automatic parking system. It's a combination of mechanical engineering, electrical engineering and computer science. Read more And well to know: mechatronics engineers are essential. Mechatronics is indispensable for the industry, healthcare, logistics, offshore, agriculture and horticulture, but more often also in residential and rehabilitation processes."
32,10945,3.5072463768,"De vraag naar slimme systemen neemt snel toe en daarmee die aan technische informatici. Tussen informatica en techniek gaapt vaak een groot gat, dat jij kunt overbruggen. Je opleiding is breed genoeg om ook meer algemene ICT-functies te kunnen vervullen. Veel studenten gaan tijdens de opleiding alvast parttime aan de slag. Ze doen bijvoorbeeld advieswerk, ontwerpen en bouwen systemen, of werken als ICT-, internet- of netwerkconsultant. Voor een werkgever of in hun eigen bedrijf.",3.5650118203,2003-09-01,3.5106382979,58.3916083916,5.5555555556,3.5,3.2647058824,27.8431372549,"Met ICT kun je echt alle kanten op. Een whizzkid hoef je voor deze studie zeker niet te zijn. Vind je websites bouwen, gamen of programmeren interessant? Je leert het allemaal bij de opleiding HBO-ICT. Spannende onderwerpen als big data en cybersecurity komen ook aan bod. Van supertechneut tot bedrijfsadviseur: met een diploma HBO-ICT op zak is alles mogelijk. In de snelle ontwikkeling van de automatisering ben jij iedereen steeds een stapje voor, omdat je die ontwikkeling op de voet volgt en precies weet wat er speelt. Het eerste halfjaar is op alle locaties gelijk en leer je ICT in de volle breedte kennen. Daarna maak je een keuze voor een bepaalde richting: Business & Data Management (locatie Den Haag), Information Security Management (locatie Zoetermeer), Innovative Development (locatie Zoetermeer), Network & Systems Engineering (locatie Delft) en Software Engineering (locatie Den Haag)..",24.7058823529,Fulltime,3.5789473684,3.9684210526,3.6951219512,3.1263157895,3.7157894737,3.5390070922000003,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/hbo-ict,,3.6458333333,Bekostigd,Informatica,59.0,11.864,0,2024.0,HBO-ICT,HBO-ICT,Information & Communication Technology,96.0,Bachelor,Exact en Informatica,HBO,Bachelor,222.0,240,Bachelor of Science,Direct toelaatbaar,0,,,"Havo met profiel EM, CM, NG, NT.","Vwo met profiel EM, CM, NG, NT.",1000.0,"HBO-ICT programme Bachelor Go to content Main navigation - Dutch Logo of De Haagse Hogeschool, go to homepage Search Nederlands Login Close Ask your question about the programme Ask your question about the programme Sign up for this programme Come to our Open Day on Saturday 1 November Something for you? You like building, gaming or programming websites? Or maybe you'll find big data and cybersecurity exciting topics? Then the programme HBO-ICT is something for you. Read more HBO-ICT is much more than a digital genius programme: it's a training for you! Do you love the fast developments in the IT sector? From programming, information security, business processes, databases or networks? In our wide bachelor programme you feel like a fish in the water. You can really be a super-tech?"
32,20663,3.59375,"Als veelzijdig engineer kun je verschillende kanten op. Ga bijvoorbeeld aan de slag bij technische adviesbureaus, technische gezondheidsbedrijven of zet je in bij duurzame energiebedrijven of de smart industry. Een ding staat vast: met de bagage die je meeneemt als Next Level Engineer ben je overal meer dan welkom!",3.9305555556,2023-09-01,3.6328125,,,3.203125,4.125,,"In this master’s programme, a central role is played by transitions in society. This is because we think that being closely involved in changes provides an excellent way of learning to deal with changes. By creatively combining different techniques and key technologies, solutions become more sustainable, efficient and effective. You also learn to approach problems from less obvious perspectives and to also think and act with agility. This facilitates collaboration and innovations arise naturally. You can then create more opportunities for yourself on the job market.",,Fulltime,3.3125,4.125,3.7333333333,3.0625,3.5,3.4791666667000003,https://www.dehaagsehogeschool.nl/opleidingen/hbo-master/master-next-level-engineering,https://www.thuas.com/programmes/masters/master-next-level-engineering,3.4375,Bekostigd,Elektrotechniek,27.0,22.222,0,2024.0,Master Next Level Engineering,Next Level Engineering,Next Level Engineering,16.0,Master,Techniek,HBO,Master,,60,Master of Science,Niet toelaatbaar,0,,,Niet toelaatbaar,Niet toelaatbaar,1000.0,"Next Level Engineering programme • Master Go to content Main navigation - Dutch Logo of The Hague University of Applied Sciences, go to homepage Search Nederlands Login Close Ask your question about the programme View the FAQ Sign up for this programme Visit our information evening on October 16th Something for you? During this master's programme you will work towards a multifaceted career. A career in which you follow technological and social changes closely and initiate them yourself. You become aware of your role between your own discipline and the world around it, and come up with increasingly innovative solutions. Read more Change in society plays a central role in this master's programme. We believe that you will learn best to deal with changes when you are closely involved. By combining different techniques and key technologies creatively, your find is becoming more sustainable, efficient and more effective."
