Instelling_SK123ID,Vestiging_SK123ID,Opleiding_SK123ID,OpleidingsvormId,AansluitingBeroepWx,baanPerspectief,BetrokkenheidContactWx,DatumAccreditatiebesluit,DatumBeginOpleiding,DatumEindeInstroom,DatumEindeOpleiding,DatumRedelijkeTermijn,DatumUitstelTotAccreditatie,DatumVervallenAccreditatie,DocentenWx,DoorstroomJaar2Prc,DoorstudeerPrc,HoviProductFormID,InhoudOpzetWx,LesstofEngelsWx,NiveauDiplomasPrc,omschrijving,omschrijvingD,omschrijvingEn,onderwijsvormOmschrijving,OpleidingDiplomasPrc,Opleidingsvorm,OpnieuwKiezenWx,percentageAfstandonderwijs,percentageAvondonderwijs,percentageStudentenUitBuitenland,RedenUitstel,resultaat,SfeerWx,StudiebegeleidingWx,StudiedrukPreciesGoedWPrc,StudiedrukTeHoogWPrc,StudiedrukTeLaagWPrc,StudiedrukVeelTeHoogWPrc,StudiedrukVeelTeLaagWPrc,StudiedrukWx,StudiefaciliteitenWx,ToetsingBeoordelingWx,URL,URLDuits,URLEngels,URLtoelatingseisen,URLtoelatingseisenD,URLtoelatingseisenEn,Hoofdvestiging_SK123ID,AlgemeenOordeel01aWPrc,AlgemeenOordeel01bWPrc,AlgemeenOordeel01cWPrc,AlgemeenOordeel01dWPrc,AlgemeenOordeel01eWPrc,AlgemeenOordeel01Wx,Bekostiging,BezoekadresNummer,BezoekadresPostcode,BezoekadresStad,BezoekadresStraat,Brinnummer,Brinvolgnummer,Cluster,collegegeldURL,CrohoNaam,CrohoNaamEngels,Deeltijd,Duaal,EerstejaarsAantal,EerstejaarsVrouwPrc,HoviLocationID,HoviProductID,IndicatieIntensiefProgramma,iscedCluster,JointDegree,maxjaar1CIJFHO,naam,naamD,naamEn,NaamOpleiding,NaamOpleidingEngels,nAlgemeenOordeel01,niveau,NSEEnqueteJaar,Opleidingscode,OpleidingscodeSamen,productType,productTypeKey,Sector,SectorCroho,SelectieEisenIntensiefProgramma,soi2006Classificatie,SoortHo,SoortOpleiding,Startdatum,StudentenAantal,Studielast,Titel,ToelatingsEisenMbo,VerhoogdCollegegeldIntensiefProgramma,Voltijd,WettelijkeAanvullendeEisenHavo,WettelijkeAanvullendeEisenVwo,WettelijkeVooropleidingseisenHavo,WettelijkeVooropleidingseisenVwo
185,32,1184,1,3.7131147541,"Bij Technische Bedrijfskunde maak je je de competenties van de ondernemer, manager en adviseur eigen. In deze rollen kun je zo verder. Onze afgestudeerden werken bijvoorbeeld als marketing managers in een business-to-business omgeving, logistiek managers of accountmanagers. Anderen hebben projectleider, organisatieadviseur of kwaliteitsmanager op hun visitekaartje staan. Regelmatig komen ze in managementteams terecht. Bij menig multinational zitten technisch bedrijfskundigen in het bestuur.",3.4444444444,2024-12-03,2003-09-01,,,,,,3.3125,60.2362204724,20.9302325581,2415_fulltime,3.39453125,3.3823529412,37.9120879121,"Bedrijven staan te springen om mensen met zowel bedrijfskundig als technisch inzicht. Als je dat bezit, heb je absoluut een streepje voor. Laat dat nou precies zijn wat je leert tijdens de opleiding Technische Bedrijfskunde. Neem het maken van een iPhone of het ontwerpen van een nieuw gebouw. Niets is logisch of vanzelfsprekend. Met een kritische blik kijk je of de productie daarvan slimmer of beter kan, door bijvoorbeeld grondstoffen goedkoper in te kopen. Bij dalende verkoopcijfers van auto’s kun je de prijs verlagen of op zoek gaan naar de oorzaak en wellicht een andere doelgroep aanspreken. Jij bent dé schakel tussen techniek en management en weet hoe een bedrijf sneller of duurzamer kan produceren. Met deze helikopterview bespaar je bedrijven veel geld en tijd. Tijdens de opleiding Technische Bedrijfskunde leer je als ondernemer, (project)manager én adviseur naar een bedrijf te kijken. Zo stem je producten en diensten af op de wensen van de klanten.",,,,32.967032967,Voltijd,3.3692307692,,,,,,3.7575757576,3.4736842105,56.25,15.625,23.4375,1.5625,3.125,2.890625,3.3432835821,3.4179894180000003,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/technische-bedrijfskunde,,,,,,32,4.1666666667,13.8888888889,23.6111111111,52.7777777778,5.5555555556,3.4166666667000003,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Werktuigbouwkunde,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Technische Bedrijfskunde,Industrial Engineering & Management,0,0,57.0,15.789,15,2415,0,,0,2024.0,Technische Bedrijfskunde,,,Technische Bedrijfskunde,Industrial Engineering & Management,72.0,Bachelor,2025.0,34421,34421,Croho opleiding,croho_program,Techniek,Techniek,0,"Bedrijfstechniek, technische bedrijfsvoering",HBO,Bachelor,2003-09-01,292.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel EM, CM (met Wiskunde A of Wiskunde B), NG, NT.","Vwo met profiel EM, CM (met Wiskunde A of Wiskunde B), NG, NT."
185,32,3227,1,3.8333333333,Goed nieuws voor elektrotechnici: de sector is gezond en zeer stabiel. Werkgevers staan voor onze bachelors in de rij; soms sponsoren ze studenten al vóór hun afstuderen. Het komt regelmatig voor dat studenten van de opleiding Elektrotechniek aan de slag gaan bij een bedrijf waar ze stage hebben gelopen.,3.7453703704,2019-08-01,2003-09-01,,,,,,3.8146551724,59.8639455782,28.0,2405_fulltime,3.5666666667,4.125,27.8606965174,"Slimme technische oplossingen zijn hard nodig om de klimaatdoelstellingen te halen. Wil je meewerken aan de transformatie naar een duurzame samenleving? Bij de opleiding Elektrotechniek bedenk, ontwerp en realiseer je slimme oplossingen voor bijvoorbeeld duurzaam gebruik van energie. Samen met studenten van andere opleidingen en professionals uit het werkveld ga je de uitdagingen van deze tijd aan! De Haagse Hogeschool geeft je de tools om maximale impact te maken op de maatschappij. Zo werk je aan innovatieve en creatieve projecten voor de zorg, landbouw, vervoer en de energiesector. Continu vraag je je af hoe iets beter, slimmer en goedkoper kan. Op die manier optimaliseer je tijdens de opleiding Elektrotechniek je eigen creaties.",,,,22.8855721393,Voltijd,3.8484848485,,,,,,4.0,3.9318181818,56.6666666667,33.333333333300004,6.6666666667,3.3333333333,0.0,3.3333333333,3.8529411765,3.7692307692,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/elektrotechniek-voltijd,,,,,,32,2.4390243902,7.3170731707,34.1463414634,46.3414634146,9.756097561,3.5365853659,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Elektrotechniek,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Elektrotechniek,Electrical and Electronic Engineering,0,1,57.0,3.509,15,2405,0,,0,2024.0,Elektrotechniek,,,Elektrotechniek,Electrical and Electronic Engineering,41.0,Bachelor,2025.0,34267,34267,Croho opleiding,croho_program,Techniek,Techniek,0,Elektrotechniek algemeen,HBO,Bachelor,2003-09-01,222.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT."
185,32,3227,3,,Goed nieuws voor elektrotechnici: de sector is gezond en zeer stabiel. Werkgevers staan voor onze bachelors in de rij; soms sponsoren ze studenten al vóór hun afstuderen. Het komt regelmatig voor dat studenten van de opleiding Elektrotechniek aan de slag gaan bij een bedrijf waar ze stage hebben gelopen.,3.7407407407,2019-08-01,2003-09-01,,,,,,,40.9090909091,,2405_dual,,,36.25,"Veel bedrijven in de energievoorziening, telecommunicatie en hightechindustrie zitten te springen om goedopgeleide technici. Deze duale bacheloropleiding Elektrotechniek is dan ook een mooie stap vooruit. Tijdens de opleiding werk je 24 uur per week bij een elektrotechnisch bedrijf. Daar ga je aan de slag met alle kennis en vaardigheden die je op school opdoet. Door de stevige theoretische basis die je daar krijgt, kijk je anders naar systemen: hoe kunnen die beter, slimmer en goedkoper? Je ontwikkelt zelf elektrotechnische systemen die energie opwekken of omzetten en slimme apparaten die met elkaar communiceren. Daarbij werk je innovatief, duurzaam en ICT-gestuurd. De lesdagen vinden plaats in Delft, een van de techniekhotspots van Nederland. Daar leer je alles over de nieuwste ontwikkelingen en werk je aan een mooie toekomst.",,,,31.25,Duaal,,,,,,,,3.6,,,,,,,,,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/elektrotechniek-duaal,,,,,,32,2.4390243902,7.3170731707,34.1463414634,46.3414634146,9.756097561,3.5365853659,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Elektrotechniek,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Elektrotechniek,Electrical and Electronic Engineering,0,1,57.0,3.509,15,2405,0,,0,2024.0,Elektrotechniek,,,Elektrotechniek,Electrical and Electronic Engineering,41.0,Bachelor,2025.0,34267,34267,Croho opleiding,croho_program,Techniek,Techniek,0,Elektrotechniek algemeen,HBO,Bachelor,2003-09-01,222.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT."
185,32,4317,1,3.435483871,"Met Toegepaste Wiskunde kun je veel kanten op. Wiskundig getrainde mensen zijn gewild bij bedrijven, de overheid en bij verschillende onderzoeksinstellingen. Veel bedrijfswiskundig ingenieurs komen als onderzoeker, adviseur of analist terecht op een afdeling waar cijfermateriaal wordt geproduceerd op basis waarvan het management beslissingen neemt. Ook als statistisch onderzoeker kun je op heel veel plaatsen aan de slag.",4.029478458,2022-07-14,2003-09-01,,,,,,4.1530612245,48.8505747126,24.1379310345,2424_fulltime,3.7653061224,,24.6835443038,"Een manier vinden om pakketjes klimaatneutraal en snel te bezorgen? Een algoritme maken voor Netflix? Locaties bepalen van ambulanceposten? Bij Toegepaste Wiskunde pak je deze uitdagingen aan met wiskundige modellen en data. Een toegepast wiskundige zoekt oplossingen voor praktische zaken en staat midden in de maatschappij. Je bedenkt bijvoorbeeld de meest efficiënte dienstregeling voor de NS, bepaalt de beste manier voor online vliegtarieven of komt met een slimme versleuteling van bankgegevens. Toegepaste wiskunde is een breed, praktisch én sociaal vakgebied. Sociaal? Jazeker! Bij deze studie leer je hoe je kennis overbrengt en volg je trainingen in presenteren, vergaderen en andere communicatieve vaardigheden.",,,,17.4050632911,Voltijd,4.1020408163,,,,,,4.48,4.1511627907,65.306122449,24.4897959184,8.1632653061,2.0408163265,0.0,3.2040816327,3.74,3.9047619048,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/toegepaste-wiskunde-i-data-analytics,,,,,,32,1.9230769231,1.9230769231,13.4615384615,57.692307692300005,25.0,4.0192307692,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Wiskunde,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Toegepaste Wiskunde,Applied Mathematics,0,0,60.0,31.667,15,2424,0,,0,2024.0,Toegepaste Wiskunde,,,Toegepaste Wiskunde,Applied Mathematics,52.0,Bachelor,2025.0,35168,35168,Croho opleiding,croho_program,Exact en Informatica,Techniek,0,Wiskunde,HBO,Bachelor,2003-09-01,191.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel EM (met Wiskunde B), CM (met Wiskunde B), NG, NT.","Vwo met profiel EM, CM (met Wiskunde A of Wiskunde B), NG, NT."
185,32,7318,1,3.6641791045,Veel studenten vinden hun werk in echte natuurkundebanen. De werkgelegenheid is op dit moment zeer groot. Het is bekend dat onze oud-studenten zeer veel goede posities in het werkveld hebben gevonden. De sectoren waarin de meeste studenten werk vinden zijn research & development (onderzoek & ontwikkeling) en engineering & fabricage. Ook commerciële functies en functies bij adviesbureaus liggen in het verschiet.,3.8549019608,2021-06-09,2003-09-01,,,,,,3.9573529412,50.9652509653,31.5789473684,2406_fulltime,3.6441176471,3.8,26.2032085561,"Apparaten uit elkaar halen om te zien hoe ze werken. In het laboratorium duiken om te testen en onderzoeken. Die nieuwsgierigheid komt goed van pas bij de opleiding Technische Natuurkunde. Als echte bèta leer je van computersimulaties en zie je niet op tegen wiskundige formules. Voor jou is niets vanzelfsprekend. Je gebruikt de wetten van moeder natuur om iets te maken of te bereiken. Bij de opleiding Technische Natuurkunde duik je vier jaar lang in de techniek van onder meer licht, geluid en mechanica. Je leert natuurkunde te begrijpen en toe te passen in de praktijk. Je krijgt theorie, maar voert ook veel practica en projecten uit. Hoe leuk is het om de akoestiek van een theaterzaal te meten of experimenten uit te voeren naar energiebesparing? Met wiskundige modellen beschrijf en verklaar je jouw metingen. Je weet niet alleen hoe iets werkt, maar zorgt ook dat het werkt. De wereld ligt aan je voeten. In het vierde jaar kies je een profiel waar je een semester lang de diepte in gaat. Wordt het Nanotechnologie of Fotonica? In beide profielen krijg je verdiepende theorie en ga je experimenteel een stapje verder. Daarnaast doe je onderzoeksprojecten op eindniveau en komt alles van jouw onderwerp samen in een project.",,,,20.5882352941,Voltijd,3.8823529412,,,,,,4.1176470588,4.0197368421,40.0,42.3529411765,7.058823529400001,10.5882352941,0.0,3.5647058824,3.4470588235,3.6529411765,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/technische-natuurkunde,,,,,,32,0.0,5.8139534884,18.6046511628,62.7906976744,12.7906976744,3.8255813953,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Technische natuurkunde,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Technische Natuurkunde,Applied Physics,0,0,56.0,17.857,15,2406,0,,0,2024.0,Technische Natuurkunde,,,Technische Natuurkunde,Applied Physics,86.0,Bachelor,2025.0,34268,34268,Croho opleiding,croho_program,Exact en Informatica,Techniek,0,Technische natuurkunde,HBO,Bachelor,2003-09-01,251.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel EM (met Wiskunde B en Natuurkunde), CM (met Wiskunde B en Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (Natuurkunde), CM (met Wiskunde B en Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT."
185,32,7321,1,3.6696969697,Werktuigbouwkundigen gebruiken de techniek om het leven en het werken van mensen aangenamer te maken. Je komt ze overal tegen: van het transport tot de machinebouw en van de constructiebouw tot de voedselindustrie. Overal zijn ze gewild. Zij dragen er toe bij dat producten echt worden gemaakt en dat productieprocessen draaien zoals het moet.,3.7136279926,2018-08-31,2003-09-01,,,,2025-05-02,,3.5833333333,63.7602179837,25.6097560976,2409_fulltime,3.6086956522,2.8863636364,44.2176870748,"Wil jij precies weten hoe machines in elkaar zitten? Haal je alles uit elkaar? Ben je enthousiast over drones met sensoren en wifi in huis? Tijdens de opleiding Werktuigbouwkunde houd je je bezig met het onderzoeken, ontwerpen, onderhouden, bouwen en verbeteren van constructies, machines, aandrijftechnieken, meet- en regeltechnieken of verbindingsprincipes. En o ja, ook fijn om te weten: er zijn volop banen. Je leert bij Werktuigbouwkunde alles over constructies en machines ontwerpen, bouwen en verbeteren. Je krijgt vakken als wiskunde, mechanica, 3D-modelleren, energieleer en programmeren. In het derde jaar van de studie ga je de praktijk in en loop je twee keer stage. Het laatste jaar verdiep je je via de minors in een onderwerp dat je echt leuk vindt. Na je afstuderen kun je overal aan de slag. Zelfs internationaal, want Werktuigbouwkunde heeft contacten over de hele wereld. Volg je deze studie liever duaal? Ook dat is mogelijk.",,,,38.2653061224,Voltijd,3.8978494624,,,,art 5.31 lid 3,,4.0909090909,3.9970760234,53.2608695652,30.4347826087,11.9565217391,3.8043478261,0.5434782609000001,3.25,3.7553191489,3.6144688645,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/werktuigbouwkunde-voltijd,,,,,,32,1.0,3.0,22.0,68.5,5.5,3.745,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Werktuigbouwkunde,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Werktuigbouwkunde,Mechanical Engineering,0,1,136.0,9.559,15,2409,0,,0,2024.0,Werktuigbouwkunde,,,Werktuigbouwkunde,Mechanical Engineering,200.0,Bachelor,2025.0,34280,34280,Croho opleiding,croho_program,Techniek,Techniek,0,Werktuigbouwkunde algemeen,HBO,Bachelor,2003-09-01,510.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT."
185,32,7321,3,3.6818181818,Werktuigbouwkundigen gebruiken de techniek om het leven en het werken van mensen aangenamer te maken. Je komt ze overal tegen: van het transport tot de machinebouw en van de constructiebouw tot de voedselindustrie. Overal zijn ze gewild. Zij dragen er toe bij dat producten echt worden gemaakt en dat productieprocessen draaien zoals het moet.,3.6444444444,2018-08-31,2003-09-01,,,,2025-05-02,,3.5113636364,58.4905660377,9.0909090909,2409_dual,3.375,,34.0206185567,"Machines, constructies, installaties: jij wilt precies weten hoe ze werken. Vooral om ze daarna nog beter vorm te geven en te organiseren. Tijdens de 4-jarige duale opleiding Werktuigbouwkunde houd je je bezig met het ontwerpen, bouwen en verbeteren van onder meer aandrijftechnieken en meet- en regeltechnieken. Je gaat aan de slag met wiskunde, mechanica, 3D-modelleren, energieleer en programmeren. In het derde jaar loop je 2 keer stage en in het laatste jaar kies je minors die passen bij jouw interesses. Voordat je het weet, is het alweer tijd om af te studeren. Met je diploma kun je overal ter wereld aan de slag: Zuid-Afrika, China, Nicaragua. We hebben overal contacten, dus je hebt het voor het uitzoeken.",,,,32.9896907216,Duaal,3.5454545455,,,,art 5.31 lid 3,,3.7272727273,3.9,45.4545454545,36.3636363636,0.0,18.1818181818,0.0,3.7272727273,3.4545454545000003,3.2878787879,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/werktuigbouwkunde-duaal,,,,,,32,1.0,3.0,22.0,68.5,5.5,3.745,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Werktuigbouwkunde,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Werktuigbouwkunde,Mechanical Engineering,0,1,136.0,9.559,15,2409,0,,0,2024.0,Werktuigbouwkunde,,,Werktuigbouwkunde,Mechanical Engineering,200.0,Bachelor,2025.0,34280,34280,Croho opleiding,croho_program,Techniek,Techniek,0,Werktuigbouwkunde algemeen,HBO,Bachelor,2003-09-01,510.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT."
185,32,8759,1,3.4929577465,"Het werk van een mechatronicus bestaat vooral uit het werken met intelligente systemen waarin elektrotechniek, mechanica en informatica zijn geïntegreerd. De competenties die je in de opleiding hebt verworven (inzicht krijgen, systeemdenken, modelleren, plannen, managen) kun je in verschillende beroepsrollen gebruiken",3.6329588015,2023-02-01,2011-09-01,,,,,,3.5652173913,52.4844720497,17.391304347800002,2395_fulltime,3.5079787234,2.8055555556000003,25.815217391300003,"Mechatronica is onmisbaar voor de industrie, zorg, logistiek, offshore, land- en tuinbouw, maar steeds vaker ook in woningen en revalidatieprocessen. Goed om te weten: mechatronisch ingenieurs zijn hard nodig. Zij maken apparaten en systemen steeds slimmer en beter door werktuigbouwkunde, elektrotechniek en informatica te combineren. Vind je bewegende machines cool? Wil je begrijpen hoe die werken? Vind je ingewikkelde puzzels leuk om op te lossen? Is jouw antwoord meestal ‘ja’? Dan is de opleiding Mechatronica aan De Haagse Hogeschool iets voor jou! Je doet dan veel kennis op over systeemkunde, wiskunde, informatica, elektrotechniek en werktuigbouwkunde. En deze kennis pas je meteen toe in projecten. Je werkt dan bijvoorbeeld aan mechatronische toepassingen in het Westland of de haven van Rotterdam. Je moet veel samenwerken, daarom brengen we je ook ‘soft skills’ bij. Zo leer je hoe je samenwerkt en welke rollen er zijn in een team. Maar ook hoe je communiceert en feedback geeft.",,,,22.8260869565,Voltijd,3.7578947368,,,,,,4.1875,3.6298701299,42.5531914894,48.9361702128,2.1276595745,6.3829787234,0.0,3.5957446809,3.7731958763,3.4307116105,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/mechatronica,,,,,,32,3.0,3.0,31.0,59.0,4.0,3.58,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Mechatronica,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Mechatronica,Mechatronics,0,0,80.0,12.5,15,2395,0,,0,2024.0,Mechatronica,,,Mechatronica,Mechatronics,100.0,Bachelor,2025.0,30026,30026,Croho opleiding,croho_program,Techniek,Techniek,0,,HBO,Bachelor,2011-09-01,284.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT.","Vwo met profiel EM (met Natuurkunde), NG (met Natuurkunde of Natuur, leven en technologie of Onderzoek en ontwerpen), NT."
185,32,10945,1,3.5072463768,"De vraag naar slimme systemen neemt snel toe en daarmee die aan technische informatici. Tussen informatica en techniek gaapt vaak een groot gat, dat jij kunt overbruggen. Je opleiding is breed genoeg om ook meer algemene ICT-functies te kunnen vervullen. Veel studenten gaan tijdens de opleiding alvast parttime aan de slag. Ze doen bijvoorbeeld advieswerk, ontwerpen en bouwen systemen, of werken als ICT-, internet- of netwerkconsultant. Voor een werkgever of in hun eigen bedrijf.",3.5650118203,2024-07-08,2003-09-01,,,,,,3.5106382979,58.3916083916,5.5555555556,2394_fulltime,3.5,3.2647058824,27.8431372549,"Met ICT kun je echt alle kanten op. Een whizzkid hoef je voor deze studie zeker niet te zijn. Vind je websites bouwen, gamen of programmeren interessant? Je leert het allemaal bij de opleiding HBO-ICT. Spannende onderwerpen als big data en cybersecurity komen ook aan bod. Van supertechneut tot bedrijfsadviseur: met een diploma HBO-ICT op zak is alles mogelijk. In de snelle ontwikkeling van de automatisering ben jij iedereen steeds een stapje voor, omdat je die ontwikkeling op de voet volgt en precies weet wat er speelt. Het eerste halfjaar is op alle locaties gelijk en leer je ICT in de volle breedte kennen. Daarna maak je een keuze voor een bepaalde richting: Business & Data Management (locatie Den Haag), Information Security Management (locatie Zoetermeer), Innovative Development (locatie Zoetermeer), Network & Systems Engineering (locatie Delft) en Software Engineering (locatie Den Haag)..",,,,24.7058823529,Voltijd,3.5789473684,,,,,,3.9684210526,3.6951219512,53.6842105263,24.2105263158,15.7894736842,4.2105263158,2.1052631579,3.1263157895,3.7157894737,3.5390070922000003,https://www.dehaagsehogeschool.nl/opleidingen/hbo-bachelor/hbo-ict,,,,,,32,0.0,6.25,23.9583333333,68.75,1.0416666667,3.6458333333,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Informatica,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,HBO-ICT,Information & Communication Technology,0,0,59.0,11.864,15,2394,0,,0,2024.0,HBO-ICT,,,HBO-ICT,Information & Communication Technology,96.0,Bachelor,2025.0,30020,30020,Croho opleiding,croho_program,Exact en Informatica,Techniek,0,Techniek met informatica,HBO,Bachelor,2003-09-01,222.0,240,Bachelor of Science,Direct toelaatbaar,0,1,,,"Havo met profiel EM, CM, NG, NT.","Vwo met profiel EM, CM, NG, NT."
185,32,20663,1,3.59375,"Als veelzijdig engineer kun je verschillende kanten op. Ga bijvoorbeeld aan de slag bij technische adviesbureaus, technische gezondheidsbedrijven of zet je in bij duurzame energiebedrijven of de smart industry. Een ding staat vast: met de bagage die je meeneemt als Next Level Engineer ben je overal meer dan welkom!",3.9305555556,2023-02-01,2023-09-01,,,,,2029-02-01,3.6328125,,,13252_fulltime,3.203125,4.125,,"Verandering in de samenleving speelt een centrale rol in de Engelstalige master Next Level Engineering. Ontdek hoe jouw creativiteit kan bijdragen aan oplossingen voor maatschappelijke uitdagingen. Je leert namelijk het beste omgaan met veranderingen als je daar nauw bij betrokken bent. Jouw vondsten worden duurzamer, efficiënter en effectiever, omdat je verschillende technieken en sleuteltechnologieën creatief weet te combineren. Ook leer je problemen te benaderen vanuit minder voor de hand liggende perspectieven en flexibel te denken en te handelen. Zo wordt samenwerken veel makkelijker en ontstaan innovaties vanzelf. Jouw kansen op de arbeidsmarkt nemen daardoor flink toe.",,"In this master’s programme, a central role is played by transitions in society. This is because we think that being closely involved in changes provides an excellent way of learning to deal with changes. By creatively combining different techniques and key technologies, solutions become more sustainable, efficient and effective. You also learn to approach problems from less obvious perspectives and to also think and act with agility. This facilitates collaboration and innovations arise naturally. You can then create more opportunities for yourself on the job market.",,,Voltijd,3.3125,,,,,,4.125,3.7333333333,75.0,6.25,12.5,6.25,0.0,3.0625,3.5,3.4791666667000003,https://www.dehaagsehogeschool.nl/opleidingen/hbo-master/master-next-level-engineering,,https://www.thuas.com/programmes/masters/master-next-level-engineering,,,,32,6.25,12.5,25.0,43.75,12.5,3.4375,Bekostigd,137,2628 AL,DELFT,Rotterdamseweg,27UM,5,Elektrotechniek,https://www.dehaagsehogeschool.nl/studiekeuze/alles-over-aanmelden-en-inschrijven/collegegeld,Next Level Engineering,Next Level Engineering,0,0,27.0,22.222,15,13252,0,,0,2024.0,Master Next Level Engineering,,,Next Level Engineering,Next Level Engineering,16.0,Master,2025.0,49144,49144,Croho opleiding,croho_program,Techniek,Techniek,0,,HBO,Master,2023-09-01,,60,Master of Science,Niet toelaatbaar,0,1,,,Niet toelaatbaar,Niet toelaatbaar
